file,line,control_tag,event_binding,snippet
options-bot/ui/src/components/ProfileForm.tsx,26,input,inline/none,<input
options-bot/ui/src/components/ProfileForm.tsx,198,button,onClick:onClose,"<button onClick={onClose} className=""text-muted hover:text-text transition-colors"">"
options-bot/ui/src/components/ProfileForm.tsx,204,form,onSubmit:handleSubmit,"<form onSubmit={handleSubmit} className=""px-5 py-4 space-y-4"">"
options-bot/ui/src/components/ProfileForm.tsx,208,input,inline/none,<input
options-bot/ui/src/components/ProfileForm.tsx,224,button,inline/none,<button
options-bot/ui/src/components/ProfileForm.tsx,263,button,inline/none,<button
options-bot/ui/src/components/ProfileForm.tsx,274,input,inline/none,<input
options-bot/ui/src/components/ProfileForm.tsx,285,button,inline/none,<button
options-bot/ui/src/components/ProfileForm.tsx,299,button,inline/none,<button
options-bot/ui/src/components/ProfileForm.tsx,389,button,inline/none,<button
options-bot/ui/src/components/ProfileForm.tsx,397,button,inline/none,<button
options-bot/ui/src/pages/Trades.tsx,110,select,inline/none,<select
options-bot/ui/src/pages/Trades.tsx,125,input,inline/none,<input
options-bot/ui/src/pages/Trades.tsx,138,select,inline/none,<select
options-bot/ui/src/pages/Trades.tsx,151,select,inline/none,<select
options-bot/ui/src/pages/Trades.tsx,164,input,inline/none,<input
options-bot/ui/src/pages/Trades.tsx,172,input,inline/none,<input
options-bot/ui/src/pages/Trades.tsx,182,button,inline/none,<button
options-bot/ui/src/pages/Trades.tsx,339,button,inline/none,<button
options-bot/ui/src/pages/Trades.tsx,375,button,inline/none,<button
options-bot/ui/src/pages/ProfileDetail.tsx,374,button,inline/none,<button
options-bot/ui/src/pages/ProfileDetail.tsx,411,button,inline/none,<button
options-bot/ui/src/pages/ProfileDetail.tsx,435,button,inline/none,<button
options-bot/ui/src/pages/ProfileDetail.tsx,443,button,inline/none,<button
options-bot/ui/src/pages/ProfileDetail.tsx,455,button,inline/none,<button
options-bot/ui/src/pages/ProfileDetail.tsx,496,button,inline/none,<button
options-bot/ui/src/pages/ProfileDetail.tsx,512,button,inline/none,<button
options-bot/ui/src/pages/ProfileDetail.tsx,527,button,inline/none,<button
options-bot/ui/src/pages/ProfileDetail.tsx,559,button,inline/none,<button
options-bot/ui/src/pages/ProfileDetail.tsx,577,button,inline/none,<button
options-bot/ui/src/pages/ProfileDetail.tsx,619,button,inline/none,<button
options-bot/ui/src/pages/ProfileDetail.tsx,901,button,inline/none,<button
options-bot/ui/src/pages/ProfileDetail.tsx,925,button,inline/none,<button
options-bot/ui/src/pages/ProfileDetail.tsx,932,button,inline/none,<button
options-bot/ui/src/pages/ProfileDetail.tsx,1009,button,inline/none,<button
options-bot/ui/src/pages/ProfileDetail.tsx,1066,input,inline/none,<input
options-bot/ui/src/pages/ProfileDetail.tsx,1076,input,inline/none,<input
options-bot/ui/src/pages/ProfileDetail.tsx,1084,button,inline/none,<button
options-bot/ui/src/pages/Dashboard.tsx,102,button,inline/none,<button
options-bot/ui/src/pages/Dashboard.tsx,120,button,inline/none,<button
options-bot/ui/src/pages/Dashboard.tsx,132,button,inline/none,<button
options-bot/ui/src/pages/Dashboard.tsx,195,button,inline/none,<button
options-bot/ui/src/pages/Dashboard.tsx,320,button,inline/none,<button
options-bot/ui/src/pages/Dashboard.tsx,439,button,inline/none,<button
options-bot/ui/src/pages/System.tsx,206,button,onClick:onRestart,"<button onClick={onRestart} disabled={busy} title=""Restart"""
options-bot/ui/src/pages/System.tsx,211,button,onClick:onStop,"<button onClick={onStop} disabled={busy} title=""Stop"""
options-bot/ui/src/pages/System.tsx,329,button,inline/none,<button
options-bot/ui/src/pages/System.tsx,357,button,inline/none,<button
options-bot/ui/src/pages/System.tsx,369,button,inline/none,<button
options-bot/ui/src/pages/System.tsx,397,input,inline/none,<input
options-bot/ui/src/pages/System.tsx,415,button,inline/none,<button
options-bot/ui/src/pages/System.tsx,425,button,inline/none,<button
options-bot/ui/src/pages/System.tsx,433,button,inline/none,<button
options-bot/ui/src/pages/System.tsx,720,button,inline/none,<button
options-bot/ui/src/pages/System.tsx,782,button,inline/none,<button
options-bot/ui/src/pages/System.tsx,794,select,inline/none,<select
options-bot/ui/src/pages/System.tsx,828,button,inline/none,<button
options-bot/ui/src/pages/SignalLogs.tsx,133,select,inline/none,<select
options-bot/ui/src/pages/SignalLogs.tsx,147,select,inline/none,<select
options-bot/ui/src/pages/SignalLogs.tsx,159,input,inline/none,<input
options-bot/ui/src/pages/SignalLogs.tsx,167,input,inline/none,<input
options-bot/ui/src/pages/SignalLogs.tsx,177,button,inline/none,<button
options-bot/ui/src/pages/SignalLogs.tsx,357,button,inline/none,<button
options-bot/ui/src/pages/SignalLogs.tsx,411,button,inline/none,<button
options-bot/ui/src/pages/Profiles.tsx,45,button,inline/none,<button
options-bot/ui/src/pages/Profiles.tsx,52,button,inline/none,<button
options-bot/ui/src/pages/Profiles.tsx,97,button,inline/none,<button
options-bot/ui/src/pages/Profiles.tsx,163,button,inline/none,<button
options-bot/ui/src/pages/Profiles.tsx,176,button,inline/none,<button
options-bot/ui/src/pages/Profiles.tsx,189,button,inline/none,<button
options-bot/ui/src/pages/Profiles.tsx,201,button,inline/none,<button
options-bot/ui/src/pages/Profiles.tsx,211,button,inline/none,<button
options-bot/ui/src/pages/Profiles.tsx,221,button,inline/none,<button
options-bot/ui/src/pages/Profiles.tsx,284,button,inline/none,<button
options-bot/ui/src/pages/Profiles.tsx,309,button,inline/none,<button
