bug_id,phase,severity,area,summary,status,evidence
CODX-P2-001,2,medium,frontend-config,Dashboard hardcodes MAX_TOTAL_POSITIONS=10 with comment "must match backend config" creating drift risk if backend changes,open,options-bot/ui/src/pages/Dashboard.tsx:20-21
CODX-P2-002,2,low,frontend-validation,Backtest UI requires dates but does not validate start<=end before submitting to backend,open,options-bot/ui/src/pages/ProfileDetail.tsx:1066-1087
CODX-P3-001,3,medium,db-migration,Broad `except Exception: pass` in DB migration blocks can mask unexpected migration failures,open,options-bot/backend/database.py:161-178
CODX-P3-002,3,medium,status-reliability,`/api/system/status` may return default values after subsystem failures unless caller inspects `check_errors`,open,options-bot/backend/routes/system.py:60-63
CODX-P3-003,3,low,process-state-consistency,Trading process state can temporarily diverge across in-memory registry/system_state/profiles.status during crash-restart windows,open,options-bot/backend/routes/trading.py:169-264
CODX-P4-001,4,medium,training-defaults,Train endpoint forces `years=6` for all model types when request omits override, overriding scalp trainer's internal 2-year default and potentially inflating training runtime/data scope,open,options-bot/backend/routes/models.py:749; options-bot/ml/scalp_trainer.py:369
CODX-P4-002,4,low,job-slot-recovery,`_active_jobs` slot is claimed before `thread.start()` and there is no rollback if thread creation/start fails, which can leave profile stuck as "in progress",open,options-bot/backend/routes/models.py:766-773;797-803
CODX-P5-001,5,medium,inference-metadata,Trade logging derives model_type from predictor class name (`scalp`/`swingclassifier`) which may not match canonical DB model_type values (`xgb_classifier`/`xgb_swing_classifier`/`lgbm_classifier`),open,options-bot/strategies/base_strategy.py:1685-1687;2107-2109
CODX-P5-002,5,medium,inference-fallback,On predictor load error strategy falls back to `XGBoostPredictor` using same model path, risking model-family bypass if intended predictor is non-xgboost,open,options-bot/strategies/base_strategy.py:166-173
CODX-P5-003,5,low,model-discovery,_detect_model_type defaults to `xgboost` when DB lookup fails which can misclassify inference semantics under metadata failure,open,options-bot/strategies/base_strategy.py:276-303
CODX-P6-001,6,medium,gate-taxonomy,`step_stopped_at` values are overloaded (same step value used by multiple independent rejection reasons), making direct gate-count interpretation ambiguous without stop_reason stratification,open,options-bot/strategies/base_strategy.py (multiple step_stopped_at callsites)
CODX-P6-002,6,medium,analytics-contract,Step `12` is used as entered-success marker (entered=true) while still encoded in `step_stopped_at`, which can distort naive "kill-count by step" analyses,open,options-bot/strategies/base_strategy.py:1708-1711;2131-2134
CODX-P7-001,7,high,audit-readiness,Current snapshot lacks runtime replay evidence needed to elevate findings from structural confidence to operational certainty,open,options-bot/CODEX_AUDIT_PACKAGE/24_FINAL_ACCEPTANCE_CHECKLIST.md
